TRAIETTORIA ATOMO -1 - PERIODIC
step 	 x 	 y 	 z
0 	 10.532882584268593 	 10.559782751193296 	 16.911787232164745
1 	 10.527235678669518 	 10.560911239674764 	 16.900602597649232
2 	 10.521470346664284 	 10.561844123121007 	 16.88945067368958
3 	 10.515583218850319 	 10.562554113097836 	 16.878367144859254
4 	 10.509570650801804 	 10.563011704566996 	 16.86737635216418
5 	 10.503428571477903 	 10.563185373024268 	 16.856483134845266
6 	 10.497152912101328 	 10.563041965422249 	 16.84568046347482
7 	 10.490740261658441 	 10.562547275795854 	 16.83496524768273
8 	 10.484188448451093 	 10.561666776929647 	 16.824354420825337
9 	 10.477496851171033 	 10.56036648327256 	 16.81389461162436
10 	 10.470666363065193 	 10.558613934293515 	 16.803660959257936
11 	 10.463699068329923 	 10.556379301175886 	 16.79374442156989
12 	 10.456597816978249 	 10.553636617397915 	 16.784232023110675
13 	 10.449365948762079 	 10.550365102163536 	 16.775189152366043
14 	 10.442007378953083 	 10.546550491892853 	 16.766655079592464
15 	 10.43452703384586 	 10.542186230692415 	 16.758656536839474
16 	 10.426931014668314 	 10.537274350458004 	 16.75121347096774
17 	 10.4192265868173 	 10.531826016740263 	 16.744338757945858
18 	 10.411422144093777 	 10.525861721011498 	 16.73803829203113
19 	 10.403527148977798 	 10.519411111405335 	 16.732311459279607
20 	 10.395552050752999 	 10.512512488010874 	 16.72715196157316
21 	 10.38750818372355 	 10.5052120172021 	 16.722548924898433
22 	 10.379407647830586 	 10.497562745484567 	 16.71848819681894
23 	 10.371263175710121 	 10.489623543695497 	 16.71495368318044
24 	 10.363087990595584 	 10.481458042696097 	 16.711928628735546
25 	 10.354895658543983 	 10.47313353835519 	 16.709396816233987
26 	 10.346699937534021 	 10.464719830798966 	 16.707343666784446
27 	 10.338514625751683 	 10.45628799958924 	 16.7057571900464
28 	 10.330353412180145 	 10.44790916365295 	 16.704628692320522
29 	 10.322229734080683 	 10.439653293370734 	 16.703953141165336
30 	 10.314156647004367 	 10.431588111884228 	 16.703729126813112
31 	 10.306146712544125 	 10.423778055514084 	 16.703958443713447
32 	 10.298211908193393 	 10.416283228767922 	 16.704645377232765
33 	 10.29036356519869 	 10.409158351611598 	 16.705795756193172
34 	 10.28261234041096 	 10.402451726954332 	 16.707415839200774
35 	 10.274968226740514 	 10.396204275721965 	 16.709511117435973
36 	 10.267440604044948 	 10.390448702563523 	 16.712085125989645
37 	 10.260038328292667 	 10.385208862628069 	 16.71513835815277
38 	 10.252769852092916 	 10.380499395522683 	 16.71866737093509
39 	 10.245643364992842 	 10.376325676652582 	 16.722664153661047
40 	 10.238666938248146 	 10.372684110406363 	 16.727115805767518
41 	 10.231848656939933 	 10.369562758066262 	 16.732004538097218
42 	 10.225196722906212 	 10.36694226139114 	 16.737307978882274
43 	 10.218719515061922 	 10.364796996214796 	 16.742999736591504
44 	 10.212425598818925 	 10.363096373427112 	 16.74905015128733
45 	 10.206323682568478 	 10.36180619930407 	 16.75542715655194
46 	 10.200422525410552 	 10.360890012693755 	 16.762097175391474
47 	 10.194730805475736 	 10.360310330333135 	 16.769025983692835
48 	 10.189256961578213 	 10.36002974970471 	 16.77617949029531
49 	 10.184009022051976 	 10.360011875654719 	 16.78352439789436
50 	 10.178994434608436 	 10.36022205331041 	 16.791028724404306
51 	 10.174219910025206 	 10.360627906599778 	 16.79866218078509
52 	 10.169691289035654 	 10.361199695814262 	 16.806396413853946
53 	 10.165413438640376 	 10.361910515140778 	 16.81420512874756
54 	 10.161390181209397 	 10.362736355719907 	 16.82206411053576
55 	 10.157624257063722 	 10.363656062074464 	 16.8299511674019
56 	 10.154117318985154 	 10.364651209547494 	 16.837846018324733
57 	 10.150869955417852 	 10.36570592800548 	 16.845730146478946
58 	 10.147881778771922 	 10.366806680752545 	 16.853586138766254
59 	 10.14515190296036 	 10.367941906215902 	 16.861392645026676
60 	 10.142679318649616 	 10.36910167448938 	 16.869121136801784
61 	 10.140462911743553 	 10.370277469799431 	 16.876737164127935
62 	 10.138501301813804 	 10.371462062895036 	 16.884203652274344
63 	 10.13679264148538 	 10.372649429322982 	 16.891484460695096
64 	 10.13533446617969 	 10.373834677153567 	 16.898547171891146
65 	 10.134123632740307 	 10.375013962390476 	 16.9053647181362
66 	 10.133156346435248 	 10.376184384667614 	 16.911915896087752
67 	 10.13242825256716 	 10.377343866585797 	 16.91818505977792
68 	 10.131934562896523 	 10.378491025358056 	 16.924161335386614
69 	 10.131670190334805 	 10.379625046140353 	 16.929837655589086
70 	 10.131629873772383 	 10.380745564098511 	 16.93520981332998
71 	 10.131808282778524 	 10.381852559394583 	 16.940275646604086
72 	 10.13220009830972 	 10.382946266518156 	 16.945034395385377
73 	 10.132800069248267 	 10.384027097551174 	 16.949486231829287
74 	 10.13360304679579 	 10.38509557770543 	 16.95363194160136
75 	 10.134603999577253 	 10.386152290916941 	 16.957472727449595
76 	 10.13579801266111 	 10.387197833111992 	 16.961010107042824
77 	 10.137180273821 	 10.388232770893863 	 16.964245882814485
78 	 10.13874605110094 	 10.389257603388815 	 16.967182162600498
79 	 10.140490665562668 	 10.390272725523834 	 16.969821422918997
80 	 10.142409464107601 	 10.391278390840457 	 16.972166600789457
81 	 10.144497796137593 	 10.392274672801108 	 16.974221211415788
82 	 10.146750997089434 	 10.393261423584153 	 16.97598948129592
83 	 10.149164378387137 	 10.394238229717454 	 16.977476486225104
84 	 10.151733219462622 	 10.395204363919516 	 16.97868827501795
85 	 10.154452759691182 	 10.39615873292889 	 16.979631965241484
86 	 10.157318191944238 	 10.397099821235711 	 16.980315794908012
87 	 10.160324659577327 	 10.398025631110395 	 16.98074911569512
88 	 10.163467258595253 	 10.39893361962273 	 16.980942309836887
89 	 10.16674104609454 	 10.399820633771935 	 16.980906612233973
90 	 10.170141055063855 	 10.40068284607099 	 16.98065382433207
91 	 10.173662314595136 	 10.40151569409652 	 16.980195915221913
92 	 10.177299873268762 	 10.402313828484386 	 16.979544527689065
93 	 10.181048822260204 	 10.403071074858426 	 16.978710441565063
94 	 10.18490431351239 	 10.403780416205295 	 16.977703096190726
95 	 10.188861567061767 	 10.40443400333765 	 16.97653034739913
96 	 10.192915861633837 	 10.405023202043788 	 16.97519870966073
97 	 10.197062504790773 	 10.405538685317401 	 16.973714372480977
98 	 10.201296818653322 	 10.40597054020159 	 16.972084056290296
99 	 10.205614157561723 	 10.406308366931476 	 16.97031495914891
100 	 10.210009924257395 	 10.406541396469821 	 16.9684146349715
101 	 10.21447958141556 	 10.406658626048642 	 16.96639085820196
102 	 10.219018657386762 	 10.4066489700611 	 16.964251479906267
103 	 10.223622745411692 	 10.406501423060938 	 16.962004280419464
104 	 10.228287496036984 	 10.406205231129125 	 16.95965682356126
105 	 10.233008602907544 	 10.405750067472134 	 16.957216317128257
106 	 10.237781782462154 	 10.405126207844084 	 16.954689483978044
107 	 10.242602748223836 	 10.404324701246331 	 16.95208244765671
108 	 10.247467180273135 	 10.403337531359245 	 16.949400636298602
109 	 10.252370690334333 	 10.40215776429438 	 16.946648708310033
110 	 10.257308783371128 	 10.400779678501577 	 16.943830502496322
111 	 10.2622768168262 	 10.399198872993932 	 16.940949014468377
112 	 10.26726995874849 	 10.397412350456362 	 16.93800640040937
113 	 10.272283146124618 	 10.395418572316753 	 16.935004008599485
114 	 10.277311044836791 	 10.393217483554235 	 16.931942438459693
115 	 10.28234801278278 	 10.390810505895539 	 16.928821626281238
116 	 10.287388067719748 	 10.38820049894281 	 16.92564095595249
117 	 10.292424861339175 	 10.38539168973141 	 16.922399392111114
118 	 10.297451660910271 	 10.382389572304442 	 16.919095632157475
119 	 10.302461339478633 	 10.379200780115399 	 16.915728272376164
120 	 10.307446374610317 	 10.3758329353401 	 16.91229598146915
121 	 10.312398855178893 	 10.372294480524127 	 16.908797673849403
122 	 10.317310495867874 	 10.368594498253922 	 16.90523267654277
123 	 10.322172659073383 	 10.364742524943118 	 16.901600884770822
